Date,Team,Opp,Player,Stat,Oodds,Uodds,Line,l10,l10diff,Identifier,Pos,imp.Ov.Prob,imp.Un.Prob,Ov.pred,Ov.P.Diff,BetRec,BetMade,NumL5Ohit,PctL5Ohit,BetHit,Points,Assists,Rebounds,3s,isB2B,isB2BFirst,isB2BSecond,countDaysRestTeam,Difference,Result,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
5/8/21,GSW,OKC,Green,Assists,2.04,1.74,9.5,10.2,-0.7,GSW-Green,PF,,,,,NA,NA,,,,15,2,5,3,FALSE,FALSE,FALSE,1,7.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,DEN,BKN,Campazzo,Assists,1.74,2.04,5.5,6.7,-1.2,DEN-Campazzo,PG,,,,,Over,Over,2,0.4,0,19,5,2,3,TRUE,FALSE,TRUE,0,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Morant,Assists,1.84,1.92,7.5,7,0.5,MEM-Morant,PG,,,,,NA,NA,,,,12,6,7,0,FALSE,FALSE,FALSE,1,1.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Bazemore,Assists,2.15,1.67,2.5,2,0.5,GSW-Bazemore,SF,,,,,NA,NA,,,,5,1,5,1,FALSE,FALSE,FALSE,1,1.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Durant,Assists,1.95,1.81,5.5,5.1,0.4,BKN-Durant,PF,,,,,NA,NA,,,,33,7,11,3,FALSE,FALSE,FALSE,1,-1.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Looney,Assists,2.00,1.77,2.5,2,0.5,GSW-Looney,C,,,,,NA,NA,,,,3,1,12,0,FALSE,FALSE,FALSE,1,1.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Anderson,Assists,1.88,1.88,3.5,3,0.5,MEM-Anderson,PF,,,,,NA,NA,,,,16,5,5,2,FALSE,FALSE,FALSE,1,-1.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Irving,Assists,2.00,1.77,6.5,6.3,0.2,BKN-Irving,PG,,,,,NA,NA,,,,31,4,0,4,FALSE,FALSE,FALSE,1,2.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,DEN,BKN,Jokic,Assists,2.02,1.76,8.5,7,1.5,DEN-Jokic,C,,,,,Under,Under,1,0.2,1,29,6,7,0,TRUE,FALSE,TRUE,0,2.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,WAS,IND,Neto,Assists,1.76,2.02,2.5,3.1,-0.6,WAS-Neto,PG,,,,,NA,NA,,,,2,3,3,0,FALSE,FALSE,FALSE,1,-0.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,WAS,IND,Westbrook,Assists,1.70,2.10,13.5,14.3,-0.8,WAS-Westbrook,PG,,,,,Over,Over,3,0.6,1,33,15,19,3,FALSE,FALSE,FALSE,1,-1.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Curry,Assists,1.67,2.15,5.5,4.9,0.6,GSW-Curry,PG,,,,,NA,NA,,,,49,2,5,11,FALSE,FALSE,FALSE,1,3.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Wiggins,Rebounds,1.71,2.09,5.5,4.7,0.8,GSW-Wiggins,PF,,,,,NA,NA,,,,18,4,3,1,FALSE,FALSE,FALSE,1,2.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,WAS,IND,Beal,Rebounds,1.85,1.91,4.5,4.2,0.3,WAS-Beal,SG,,,,,NA,NA,,,,50,1,5,3,FALSE,FALSE,FALSE,1,-0.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,POR,SAS,McCollum,Rebounds,1.98,1.79,4.5,4,0.5,POR-McCollum,SG,,,,,NA,NA,,,,27,2,5,4,TRUE,FALSE,TRUE,0,-0.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,POR,SAS,Lillard,Rebounds,1.92,1.84,4.5,4.2,0.3,POR-Lillard,PG,,,,,NA,NA,,,,30,8,4,4,TRUE,FALSE,TRUE,0,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,SAS,POR,DeRozan,Rebounds,2.03,1.75,4.5,3.5,1,SAS-DeRozan,PF,,,,,NA,NA,,,,20,4,2,0,TRUE,FALSE,TRUE,0,2.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,SAS,POR,Murray,Rebounds,1.70,2.10,6.5,7.5,-1,SAS-Murray,PG,,,,,NA,NA,,,,15,5,4,0,TRUE,FALSE,TRUE,0,2.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Brooks,Rebounds,1.65,2.19,2.5,2.6,-0.1,MEM-Brooks,SF,,,,,NA,NA,,,,15,3,2,3,TRUE,FALSE,TRUE,0,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Green,Rebounds,1.88,1.88,9.5,9.6,-0.1,GSW-Green,PF,,,,,NA,NA,,,,15,2,5,3,FALSE,FALSE,FALSE,1,4.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,DEN,BKN,Campazzo,Rebounds,2.10,1.70,3.5,3.9,-0.4,DEN-Campazzo,PG,,,,,NA,NA,,,,19,5,2,3,TRUE,FALSE,TRUE,0,1.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Morant,Rebounds,2.04,1.74,4.5,4.9,-0.4,MEM-Morant,PG,,,,,NA,NA,,,,12,6,7,0,FALSE,FALSE,FALSE,1,-2.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Harris,Rebounds,2.24,1.62,3.5,3.7,-0.2,BKN-Harris,SF,,,,,NA,NA,,,,8,5,5,2,FALSE,FALSE,FALSE,1,-1.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,MEM,TOR,Valanciunas,Rebounds,2.00,1.77,12.5,12,0.5,MEM-Valanciunas,C,,,,,NA,NA,,,,18,1,21,0,FALSE,FALSE,FALSE,1,-8.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,SAS,POR,Johnson,Rebounds,1.77,2.00,5.5,5.2,0.3,SAS-Johnson,SF,,,,,NA,NA,,,,6,1,2,0,TRUE,FALSE,TRUE,0,3.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,GSW,OKC,Bazemore,Rebounds,1.81,1.95,5.5,7.3,-1.8,GSW-Bazemore,SF,,,,,NA,NA,,,,5,1,5,1,FALSE,FALSE,FALSE,1,0.5,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/21,BKN,DEN,Durant,Rebounds,2.06,1.73,7.5,8.3,-0.8,BKN-Durant,PF,,,,,NA,NA,,,,33,7,11,3,FALSE,FALSE,FALSE,1,-3.5,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
