Player,Pos,Identifier
Hall,C,ORL-Hall
Hampton,SG,ORL-Hampton
Harris,SG,ORL-Harris
Mane,SG,ORL-Mane
Mason III,PG,ORL-Mason III
Okeke,PF,ORL-Okeke
Porter,PF,ORL-Porter
Randle,PG,ORL-Randle
Ross,SG,ORL-Ross
Curry,SG,PHI-Curry
Embiid,C,PHI-Embiid
Ferguson,SF,PHI-Ferguson
Green,SF,PHI-Green
Harris,PF,PHI-Harris
Howard,C,PHI-Howard
Joe,PG,PHI-Joe
Korkmaz,SF,PHI-Korkmaz
Mathias,SF,PHI-Mathias
Maxey,PG,PHI-Maxey
Milton,SF,PHI-Milton
Poirier,C,PHI-Poirier
Reed,PF,PHI-Reed
Scott,PF,PHI-Scott
Simmons,PG,PHI-Simmons
Thybulle,SG,PHI-Thybulle
Tolliver,C,PHI-Tolliver
Tucker,PG,PHI-Tucker
Alexander,SF,PHO-Alexander
Ayton,C,PHO-Ayton
Booker,SG,PHO-Booker
Bridges,SF,PHO-Bridges
Carter,SG,PHO-Carter
Crowder,PF,PHO-Crowder
Galloway,SG,PHO-Galloway
Johnson,PF,PHO-Johnson
Kaminsky,C,PHO-Kaminsky
Moore,SG,PHO-Moore
Nader,SF,PHO-Nader
Paul,PG,PHO-Paul
Payne,PG,PHO-Payne
Saric,C,PHO-Saric
Smith,PF,PHO-Smith
Anthony,PF,POR-Anthony
Blevins,SG,POR-Blevins
Covington,PF,POR-Covington
Elleby,SG,POR-Elleby
Giles,C,POR-Giles
Hollis-Jefferson,PF,POR-Hollis-Jefferson
Jones Jr.,SF,POR-Jones Jr.
Kanter,C,POR-Kanter
Leaf,PF,POR-Leaf
Lillard,PG,POR-Lillard
Little,SF,POR-Little
McCollum,SG,POR-McCollum
Nurkic,C,POR-Nurkic
Powell,SF,POR-Powell
Simons,PG,POR-Simons
Bagley III,PF,SAC-Bagley III
Barnes,PF,SAC-Barnes
Fox,PG,SAC-Fox
Guy,PG,SAC-Guy
